GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,n_pixels,n_non_na_pixels,prop_non_na_pixels,ntl_mean,date
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10481,0.998856380444106,0.233198404312134,2016-04-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0942379459738731,2016-04-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11950,0.996331499082875,0.269618630409241,2016-04-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22092,0.99873417721519,0.0882417634129524,2016-04-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17755,0.998313185268485,0.291560560464859,2016-06-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.141743332147598,2016-06-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10481,0.998856380444106,0.193911597132683,2016-06-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.173751056194305,2016-06-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11925,0.994247123561781,0.108713775873184,2016-06-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22066,0.99755877034358,0.0885171592235565,2016-06-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17763,0.998763002530222,0.328157722949982,2016-07-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26346,0.999962045014613,0.1617471575737,2016-07-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10482,0.998951682073763,0.243413880467415,2016-07-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0897319540381432,2016-07-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11942,0.995664498916125,0.178626492619514,2016-07-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,21946,0.992133815551537,0.0634311884641647,2016-07-01
